Digital_System_Name_(original_name),Implementation_Integer_bits(i),Implementation_fractional_bits(j),Bit,Realization,Uncertainty_plan,a1_plan,a2_plan,b1_plan,b2_plan,Class
cruise,1,6,7,DFI,0.0,0,0.00074131,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.88,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.94,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.0,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.06,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.12,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.18,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.24,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.3,-1.2366,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.7,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.76,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.82,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.88,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.94,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.0,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.06,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.12,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.18,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.24,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.3,-1.1795,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.7,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.76,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.82,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.88,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,0.94,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.0,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.06,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.12,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010339,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0010925,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001151,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.0012095,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.001268,1.18,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00068279,1.24,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00074131,1.24,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00079984,1.24,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00085836,1.24,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00091689,1.24,-1.1224,Fail
cruise,1,6,7,DFI,0.0,0,0.00097541,1.24,-1.1224,Fail
